"first_name","last_name","gender","DOB","Age","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","property_valuation"
"Sammy","Borsi","F","1972-04-27",51,99,"Accountant III","Financial Services","Mass Customer","No",5,"0 Kipling Way",2289,"NSW",7
"Pace","Clemonts","M","1990-07-28",33,99,"Media Manager IV","Retail","High Net Worth","No",10,"335 Cambridge Hill",3122,"VIC",7
"Clarine","Piecha","F","1964-12-07",58,99,"Dental Hygienist","Health","High Net Worth","No",14,"7523 Eggendart Hill",4151,"QLD",10
"Irvine","Headon","M","1956-04-21",67,99,"Geologist III","IT","Affluent Customer","Yes",20,"9 Hovde Way",2322,"NSW",5
"Theresa","Cowper","F","1976-08-24",47,99,"Accountant III","Manufacturing","Mass Customer","No",3,"88 Mifflin Pass",2529,"NSW",10
"Wylie","Huntingdon","M","1966-08-11",57,99,"VP Quality Control","Financial Services","Mass Customer","No",15,"08822 Duke Road",2763,"NSW",8
"Regine","Bownes","F","1952-07-01",71,99,"Senior Developer","Retail","Affluent Customer","No",15,"255 Loeprich Lane",3752,"VIC",9
"Mikol","Eck","M","1975-07-25",48,99,"VP Marketing","Financial Services","Mass Customer","Yes",21,"15621 Twin Pines Crossing",4130,"QLD",9
"Cissiee","Baylis","F","1951-07-22",72,99,"Cost Accountant","Financial Services","High Net Worth","No",16,"18 Dottie Park",2230,"NSW",11
"Colas","Gabbitas","M","1946-09-09",77,98,"Staff Scientist","Retail","High Net Worth","No",20,"3094 Elka Place",2166,"NSW",9
"Hasheem","Groucock","M","1974-09-17",49,98,"Budget/Accounting Analyst IV","Manufacturing","High Net Worth","Yes",10,"12351 Spenser Pass",2034,"NSW",12
"Calhoun","Mussington","M","1992-10-13",30,98,"Dental Hygienist","Health","Mass Customer","No",12,"176 Fallview Plaza",2019,"NSW",9
"Selle","Casper","F","1978-03-27",45,98,"Social Worker","Health","Mass Customer","Yes",10,"34 Jay Hill",2880,"NSW",1
"Leticia","Hovenden","F","1997-04-03",26,98,"Mechanical Systems Engineer","Retail","Mass Customer","Yes",1,"54782 Lake View Parkway",3178,"VIC",9
"Kizzee","Agget","F","1976-07-25",47,98,"Statistician II","Manufacturing","Affluent Customer","No",8,"122 Marcy Park",2213,"NSW",10
"Daisy","Pollen","F","1993-08-09",30,97,"Cost Accountant","Financial Services","Mass Customer","No",7,"61825 Debs Terrace",3167,"VIC",9
"Tomaso","Horsley","M","2001-04-16",22,97,"Junior Executive","Financial Services","Mass Customer","Yes",10,"70360 Onsgard Plaza",3977,"VIC",6
"Etan","Prinett","M","1970-01-21",53,97,"Operator","Argiculture","Mass Customer","Yes",10,"9082 Waywood Avenue",2250,"NSW",8
"Menard","Venmore","M","1978-04-04",45,97,"Assistant Professor","Retail","High Net Worth","No",8,"5 Hoard Trail",2197,"NSW",10
"Ferdinand","Billie","M","1965-09-04",58,97,"Chemical Engineer","Manufacturing","Mass Customer","No",6,"660 Carey Avenue",2759,"NSW",8
"Geoff","Sitford","M","1965-02-27",58,97,"Account Executive","Financial Services","Mass Customer","Yes",4,"7 Elgar Road",2148,"NSW",8
"Odessa","Mc Andrew","F","1981-12-01",41,97,"Null","Property","Mass Customer","No",8,"31756 Meadow Valley Lane",2232,"NSW",10
"Ardis","Taree","F","1960-04-12",63,97,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",5,"0 Emmet Trail",4128,"QLD",9
"Ingmar","Okenden","M","1959-03-01",64,97,"Compensation Analyst","Financial Services","Mass Customer","Yes",8,"1 Graceland Plaza",3216,"VIC",2
"Latrena","Walklate","F","1943-10-05",79,97,"Mechanical Systems Engineer","Telecommunications","High Net Worth","Yes",13,"87 Sheridan Junction",2281,"NSW",8
"Nico","Chadwick","M","1953-05-24",70,97,"Research Assistant IV","Financial Services","Affluent Customer","No",13,"355 Roxbury Lane",3190,"VIC",8
"Patrice","Pariss","M","1954-06-15",69,96,"VP Accounting","Financial Services","Mass Customer","No",9,"3745 Thierer Trail",4078,"QLD",5
