customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,RFM_VALUE,State,Property_Valuation,Postcode,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,Age,RFM_VALUE,State,Property_Valuation,industry_rank,Cluster
66,Anselm,Gawne,M,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1,21,324,NSW,10.0,2217.0,1,46,2,0,1,21,3,1,10,2,0
1888,Sibyl,Scholtz,F,67,2002-01-26,Food Chemist,Health,Mass Customer,N,Yes,1,21,123,NSW,10.0,2042.0,0,67,1,1,1,21,1,1,10,7,0
3435,Stevena,Allcock,F,80,2002-01-15,Senior Editor,Null,Affluent Customer,N,No,1,21,122,QLD,3.0,4301.0,0,80,3,0,1,21,1,2,3,8,0
2858,Benedicto,Radki,M,4,2002-01-09,Recruiting Manager,Null,Mass Customer,N,Yes,1,21,124,NSW,10.0,2044.0,1,4,1,1,1,21,1,1,10,8,1
422,Vito,Norker,M,78,2002-01-06,Null,Manufacturing,Affluent Customer,N,No,1,21,122,NSW,11.0,2031.0,1,78,3,0,1,21,1,1,11,10,0
2296,Nathalia,Sanger,F,16,2002-01-01,Geologist IV,Retail,Affluent Customer,N,No,1,21,323,QLD,9.0,4215.0,0,16,3,0,1,21,3,2,9,6,1
470,Darbee,Klimowicz,M,22,2001-12-19,Internal Auditor,Retail,Mass Customer,N,No,1,21,442,NSW,11.0,2120.0,1,22,1,0,1,21,4,1,11,6,1
1402,Hillier,Andraud,M,58,2001-12-08,Assistant Professor,Telecommunications,Mass Customer,N,No,1,21,343,VIC,8.0,3107.0,1,58,1,0,1,21,3,3,8,1,0
1519,Marwin,Jeyness,M,35,2001-11-30,Administrative Assistant IV,Telecommunications,High Net Worth,N,Yes,1,21,443,NSW,8.0,2260.0,1,35,2,1,1,21,4,1,8,1,0
212,Nanice,Ellse,F,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1,21,111,QLD,4.0,4503.0,0,21,3,0,1,21,1,2,4,4,1
2759,Melodee,Hendrik,F,16,2001-11-14,Operator,Health,Affluent Customer,N,Yes,1,21,123,VIC,3.0,3995.0,0,16,3,1,1,21,1,3,3,7,1
447,Brittany,Peasey,F,98,2001-11-06,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1,21,432,NSW,10.0,2213.0,0,98,1,1,1,21,4,1,10,2,3
1250,Jacklyn,Kewley,F,42,2001-11-02,Help Desk Technician,Manufacturing,Mass Customer,N,No,1,21,344,QLD,7.0,4818.0,0,42,1,0,1,21,3,2,7,10,0
751,Amie,Dufty,F,41,2001-10-31,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1,21,111,NSW,10.0,2117.0,0,41,3,0,1,21,1,1,10,9,0
1322,Kathye,Christie,F,37,2001-10-16,Data Coordiator,Financial Services,Mass Customer,N,Yes,1,21,223,QLD,8.0,4017.0,0,37,1,1,1,21,2,2,8,9,0
3173,Angelo,,M,55,2001-10-10,Computer Systems Analyst I,Health,Mass Customer,N,Yes,1,21,234,VIC,2.0,3690.0,1,55,1,1,1,21,2,3,2,7,0
442,Linc,Vedyasov,M,2,2001-10-06,Null,Financial Services,Mass Customer,N,No,1,21,442,QLD,6.0,4074.0,1,2,1,0,1,21,4,2,6,9,1
245,Noell,Grahlmans,F,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1,21,422,VIC,1.0,3500.0,0,6,3,0,1,21,4,3,1,9,1
105,Maribeth,Pristnor,F,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,21,123,NSW,10.0,2155.0,0,25,1,0,1,21,1,1,10,10,1
2808,Preston,Tinkham,M,68,2001-06-29,Actuary,Financial Services,Mass Customer,N,Yes,1,21,424,NSW,9.0,2010.0,1,68,1,1,1,21,4,1,9,9,0
3254,Lissy,Paliser,F,8,2001-05-22,Human Resources Assistant I,Financial Services,Mass Customer,N,No,1,22,342,QLD,6.0,4701.0,0,8,1,0,1,22,3,2,6,9,1
2628,Giselbert,Gudyer,M,29,2001-05-21,Assistant Media Planner,Entertainment,Affluent Customer,N,No,1,22,121,NSW,7.0,2567.0,1,29,3,0,1,22,1,1,7,3,1
1813,Reeva,Eakeley,F,45,2001-05-19,Technical Writer,Manufacturing,Mass Customer,N,No,1,22,332,QLD,9.0,4035.0,0,45,1,0,1,22,3,2,9,10,0
874,Howard,Oseland,M,78,2001-05-05,Null,Health,Mass Customer,N,Yes,1,22,242,NSW,10.0,2010.0,1,78,1,1,1,22,2,1,10,7,0
540,Tresa,Dy,F,80,2001-04-28,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,22,231,NSW,9.0,2170.0,0,80,1,0,1,22,2,1,9,10,0
3112,Terri,Gornal,M,41,2001-04-22,Internal Auditor,Retail,High Net Worth,N,Yes,1,22,443,VIC,11.0,3162.0,1,41,2,1,1,22,4,3,11,6,0
19,Sorcha,Keyson,F,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1,22,113,NSW,9.0,2233.0,0,76,2,0,1,22,1,1,9,10,0
1355,Isador,Hallitt,M,37,2001-04-04,VP Quality Control,Property,Mass Customer,N,No,1,22,422,VIC,4.0,3444.0,1,37,1,0,1,22,4,3,4,5,0
2812,Molli,Hagergham,F,16,2001-04-01,Budget/Accounting Analyst IV,Null,High Net Worth,N,Yes,1,22,134,NSW,10.0,2769.0,0,16,2,1,1,22,1,1,10,8,1
3014,Terrijo,Merlin,F,59,2001-03-30,Software Engineer II,Null,High Net Worth,N,No,1,22,344,NSW,10.0,2065.0,0,59,2,0,1,22,3,1,10,8,0
2600,Darnell,Wistance,M,55,2001-03-03,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,1,22,113,QLD,9.0,4116.0,1,55,1,1,1,22,1,2,9,9,0
